oldname,name,band,seite
BVerfG_2000-12-19_S_2_BvR_1500_97_NA,ZeugenJehovas-Körperschaftsstatus,102,370
BVerfG_2000-12-13_S_1_BvR_0335_97_NA,SingularzulassungOLG,103,1
BVerfG_2000-12-14_K_2_BvR_1741_99_NA,GenetischerFingerabdruck-1,103,21
BVerfG_2001-01-23_S_2_BvQ_0042_00_NA,NPD-Verbot-EA-VorbereitungAkteneinsicht,103,41
BVerfG_2001-01-24_S_1_BvR_2623_95_NA,FernsehaufnahmenGerichtssaal-2,103,44
BVerfG_2001-01-24_S_2_BvE_0001_00_NA,Pofalla-1,103,81
BVerfG_2001-02-06_S_1_BvR_0012_92_NA,Unterhaltsverzichtsvertrag,103,89
BVerfG_2001-02-08_S_2_BvF_0001_00_NA,WahlprüfungHessen,103,111
BVerfG_2001-02-20_S_2_BvR_1444_00_NA,Wohnungsdurchsuchung,103,142
BVerfG_2001-03-08_S_2_BvK_0001_97_NA,ÖDP,103,164
BVerfG_2001-03-20_S_1_BvR_0491_96_NA,AltersgrenzeKassenärzte,103,172
BVerfG_2001-03-21_S_1_BvR_2307_94_NA,EALG-Tatbestandsberichtigung,103,195
BVerfG_2001-04-03_S_1_BvR_2014_95_NA,Pflegeversicherung-1,103,197
BVerfG_2001-04-03_S_1_BvR_0081_98_NA,Pflegeversicherung-2,103,225
BVerfG_2001-04-03_S_1_BvR_1629_94_NA,Pflegeversicherung-3,103,242
BVerfG_2001-04-03_S_1_BvR_1681_94_NA,Pflegeversicherung-4,103,271
BVerfG_2001-04-03_S_1_BvL_0032_97_NA,Urlaubsanrechnung,103,293
BVerfG_2001-04-04_S_2_BvL_0007_98_NA,DDR-Dienstzeiten,103,310
BVerfG_2001-05-07_S_2_BvK_0001_00_NA,NaturschutzgesetzSchleswig-Holstein,103,332
BVerfG_2001-05-22_S_1_BvL_0004_96_NA,FreiwilligVersicherteSelbständige,103,392
BVerfG_2001-05-22_S_1_BvR_1512_97_NA,Baulandumlegung,104,1
